siteId,subdomain,slotId,upgrade start date GMT, engineer
10368,tcbpm,10643,30:00.0,yahya.jideh
10369,tcbpmqa,10643,30:00.0,yahya.jideh
10370,tcbpmdev,10643,30:00.0,yahya.jideh
11689,tah,10585,00:00.0,diaba.konate
12166,bpmibl,10538,00:00.0,viet.nguyen
12167,bpmibl-test,10538,00:00.0,viet.nguyen
12168,bpmibl-dev,10538,00:00.0,viet.nguyen
12218,elbdemo,10604,00:00.0,jack.chen
19114,forefrontdemo2,10632,00:00.0,ahmad.chakhachiro
12295,technomiledemo,10632,00:00.0,ahmad.chakhachiro
13574,pepco,10632,00:00.0,ahmad.chakhachiro
13575,pepcotest,10632,00:00.0,ahmad.chakhachiro
13576,pepcodev,10632,00:00.0,ahmad.chakhachiro
15408,sercoaams,10604,00:00.0,jack.chen
15409,sercoaams-test,10604,00:00.0,jack.chen
15410,sercoaams-dev,10602,00:00.0,viet.nguyen
15646,cms-lending-marcus,10621,00:00.0,richard.luong
15647,uat-cms-lending-marcus,10621,00:00.0,richard.luong
15648,dev-cms-lending-marcus,10621,00:00.0,richard.luong
15650,training-cms-lending-marcus,10621,00:00.0,richard.luong
15651,fwqa-cms-lending-marcus,10621,00:00.0,richard.luong
15652,qa-cms-lending-marcus,10638,00:00.0,kevin.huang
22064,hsbccbpreprod,10620,00:00.0,richard.luong
22065,hsbccbdev,10620,00:00.0,richard.luong
22066,hsbccbtest,10620,00:00.0,richard.luong
24759,hsbccbprod,10620,00:00.0,richard.luong
24760,cmbhotfix,10638,00:00.0,kevin.huang
